Sensor Number,Latitude,Longitude,Elevation
00142,42.4029,-71.0185,4.0
00143,42.3909,-71.0228,6.0
00146,42.3981,-71.0405,4.0
00147,42.4055,-71.0359,16.0
00149,42.3875,-71.0493,17.0
00150,42.39327,-71.03312,20.0
00151,42.3863,-71.03216,6.0
00152,42.3937,-71.0487,3.0
00155,42.40394,-71.02689,7.0
00156,42.39758,-71.03236,12.0
00160,42.3966,-71.037,6.0
00161,42.40251,-71.01926,8.0
00164,42.3874,-71.0236,-2.0
00165,42.39242,-71.03235,20.0
00166,42.38958,-71.039,10.0
00169,42.39928,-71.03752,5.0
00170,42.39108,-71.02886,29.0
00172,42.39487,-71.02869,6.0
00173,42.39625,-71.03975,4.0
00175,42.38977,-71.04156,11.0
00176,42.3915,-71.0365,11.0
00177,42.4085,-71.031,9.0
00179,42.3914,-71.0384,10.0
00180,42.39777,-71.035614,6.0
00181,42.39248,-71.0387,9.0
00182,42.38893,-71.04106,14.0
00183,42.38971,-71.03765,10.0
00188,42.40001,-71.01997,10.0
00189,42.39776,-71.03817,5.0
00190,42.3966,-71.0291,10.0
00191,42.3971,-71.0207,6.0
00195,42.4033,-71.0215,6.0
00196,42.3946,-71.0332,10.0
00197,42.4004,-71.0263,37.0
00200,42.39847,-71.03761,5.0
00213,42.39706,-71.03619,6.0
00216,42.395,-71.0322,10.0
00223,42.3896,-71.0522,0.0
00226,42.3937,-71.028,17.0
00227,42.3869,-71.0456,5.0
00228,42.39504,-71.03938,5.0
00229,42.3878,-71.0476,33.0
00231,42.3931,-71.0325,20.0
00233,42.38839,-71.0359,12.0
00236,42.4008,-71.0285,47.0
00240,42.3901,-71.037,11.0
00243,42.39312,-71.03404,11.0
00250,42.40696,-71.02793,7.0
00253,42.3879,-71.0305,14.0
00254,42.3941,-71.0311,13.0
00287,42.4044,-71.0259,7.0
00288,42.39792,-71.02063,8.0
00293,42.392,-71.0263,3.0
00294,42.3884,-71.038,10.0
00295,42.3906,-71.0381,10.0
00308,42.3982,-71.031,11.0
00312,42.392555,-71.03471,11.0
00315,42.397,-71.0239,4.0
00320,42.40862,-71.02826,7.0
00322,42.40097,-71.04121,3.0
00323,42.3925,-71.0265,3.0
00325,42.40943,-71.03016,9.0
00326,42.3949,-71.0405,7.0
00327,42.4026,-71.037,19.0
00328,42.40189,-71.01268,9.0
00329,42.39921,-71.04063,4.0
00330,42.39966,-71.02222,12.0
00331,42.39375,-71.03904,5.0
00337,42.39259,-71.04447,5.0
00338,42.391,-71.0324,19.0
00339,42.3957,-71.0386,5.0
00341,42.3935,-71.0428,7.0
00342,42.4103,-71.0324,8.0
00345,42.4008,-71.0209,9.0
